doi,publication_year,title,abstract
https://doi.org/10.1002/jcc.21057,2008,<i>Ab‐initio</i>simulations of materials using VASP: Density‐functional theory and beyond,"During the past decade, computer simulations based on a quantum-mechanical description of the interactions between electrons and between electrons and atomic nuclei have developed an increasingly important impact on solid-state physics and chemistry and on materials science-promoting not only a deeper understanding, but also the possibility to contribute significantly to materials design for future technologies. This development is based on two important columns: (i) The improved description of electronic many-body effects within density-functional theory (DFT) and the upcoming post-DFT methods. (ii) The implementation of the new functionals and many-body techniques within highly efficient, stable, and versatile computer codes, which allow to exploit the potential of modern computer architectures. In this review, I discuss the implementation of various DFT functionals [local-density approximation (LDA), generalized gradient approximation (GGA), meta-GGA, hybrid functional mixing DFT, and exact (Hartree-Fock) exchange] and post-DFT approaches [DFT + U for strong electronic correlations in narrow bands, many-body perturbation theory (GW) for quasiparticle spectra, dynamical correlation effects via the adiabatic-connection fluctuation-dissipation theorem (AC-FDT)] in the Vienna ab initio simulation package VASP. VASP is a plane-wave all-electron code using the projector-augmented wave method to describe the electron-core interaction. The code uses fast iterative techniques for the diagonalization of the DFT Hamiltonian and allows to perform total-energy calculations and structural optimizations for systems with thousands of atoms and ab initio molecular dynamics simulations for ensembles with a few hundred atoms extending over several tens of ps. Applications in many different areas (structure and phase stability, mechanical and dynamical properties, liquids, glasses and quasicrystals, magnetism and magnetic nanostructures, semiconductors and insulators, surfaces, interfaces and thin films, chemical reactions, and catalysis) are reviewed."
https://doi.org/10.1038/nphys3171,2014,Measuring the Chern number of Hofstadter bands with ultracold bosonic atoms,
https://doi.org/10.1063/5.0004608,2020,The ORCA quantum chemistry program package,"In this contribution to the special software-centered issue, the ORCA program package is described. We start with a short historical perspective of how the project began and go on to discuss its current feature set. ORCA has grown into a rather comprehensive general-purpose package for theoretical research in all areas of chemistry and many neighboring disciplines such as materials sciences and biochemistry. ORCA features density functional theory, a range of wavefunction based correlation methods, semi-empirical methods, and even force-field methods. A range of solvation and embedding models is featured as well as a complete intrinsic to ORCA quantum mechanics/molecular mechanics engine. A specialty of ORCA always has been a focus on transition metals and spectroscopy as well as a focus on applicability of the implemented methods to ""real-life"" chemical applications involving systems with a few hundred atoms. In addition to being efficient, user friendly, and, to the largest extent possible, platform independent, ORCA features a number of methods that are either unique to ORCA or have been first implemented in the course of the ORCA development. Next to a range of spectroscopic and magnetic properties, the linear- or low-order single- and multi-reference local correlation methods based on pair natural orbitals (domain based local pair natural orbital methods) should be mentioned here. Consequently, ORCA is a widely used program in various areas of chemistry and spectroscopy with a current user base of over 22 000 registered users in academic research and in industry."
https://doi.org/10.1038/s41586-021-03406-5,2021,Pseudo-halide anion engineering for α-FAPbI3 perovskite solar cells,
https://doi.org/10.1038/s41563-018-0040-6,2018,Electric-field switching of two-dimensional van der Waals magnets,
https://doi.org/10.1103/physrevapplied.7.044016,2017,Efficiency Potential of Photovoltaic Materials and Devices Unveiled by Detailed-Balance Analysis,"Efficiencies of many solar-cell technologies steadily approach their thermodynamic limits, and consistent, thermodynamically correct methods are needed to address the remaining fundamental loss mechanisms. Unfortunately, the communities working on different technologies use different standards to determine the band gap of a solar cell, which in turn is used to quantify voltage losses. Motivated by the idealized efficiency limit of Shockley and Queisser, the authors offer an analytic perspective on the band gap that applies to $a\phantom{\rule{0}{0ex}}l\phantom{\rule{0}{0ex}}l$ photovoltaic technologies, allowing meaningful comparison of losses."
https://doi.org/10.1038/nphys384,2006,Chiral tunnelling and the Klein paradox in graphene,
https://doi.org/10.1038/s41563-020-0708-6,2020,Correlated electronic phases in twisted bilayer transition metal dichalcogenides,
https://doi.org/10.1126/science.abd3230,2021,Stacking-engineered ferroelectricity in bilayer boron nitride,"2D ferroelectrics with robust polarization down to atomic thicknesses provide building blocks for functional heterostructures. Experimental realization remains challenging because of the requirement of a layered polar crystal. Here, we demonstrate a rational design approach to engineering 2D ferroelectrics from a non-ferroelectric parent compound via employing van der Waals assembly. Parallel-stacked bilayer boron nitride exhibits out-of-plane electric polarization that reverses depending on the stacking order. The polarization switching is probed via the resistance of an adjacently stacked graphene sheet. Twisting the boron nitride sheets by a small angle changes the dynamics of switching thanks to the formation of moiré ferroelectricity with staggered polarization. The ferroelectricity persists to room temperature while keeping the high mobility of graphene, paving the way for potential ultrathin nonvolatile memory applications."
https://doi.org/10.1038/nature08293,2009,Observation of unidirectional backscattering-immune topological electromagnetic states,
https://doi.org/10.1126/science.1194975,2011,Two-Dimensional Nanosheets Produced by Liquid Exfoliation of Layered Materials,"If they could be easily exfoliated, layered materials would become a diverse source of two-dimensional crystals whose properties would be useful in applications ranging from electronics to energy storage. We show that layered compounds such as MoS(2), WS(2), MoSe(2), MoTe(2), TaSe(2), NbSe(2), NiTe(2), BN, and Bi(2)Te(3) can be efficiently dispersed in common solvents and can be deposited as individual flakes or formed into films. Electron microscopy strongly suggests that the material is exfoliated into individual layers. By blending this material with suspensions of other nanomaterials or polymer solutions, we can prepare hybrid dispersions or composites, which can be cast into films. We show that WS(2) and MoS(2) effectively reinforce polymers, whereas WS(2)/carbon nanotube hybrid films have high conductivity, leading to promising thermoelectric properties."
https://doi.org/10.1039/c8cs00024g,2018,Two-dimensional transition metal dichalcogenides: interface and defect engineering,"Two-dimensional (2D) transition metal dichalcogenides (TMDCs) have been considered as promising candidates for next generation nanoelectronics. Because of their atomically-thin structure and high surface to volume ratio, the interfaces involved in TMDC-based devices play a predominant role in determining the device performance, such as charge injection/collection at the metal/TMDC interface, and charge carrier trapping at the dielectric/TMDC interface. On the other hand, the crystalline structures of TMDCs are enriched by a variety of intrinsic defects, including vacancies, adatoms, grain boundaries, and substitutional impurities. Customized design and engineering of the interfaces and defects provides an effective way to modulate the properties of TMDCs and finally enhance the device performance. Herein, we summarize and highlight recent advances and state-of-the-art investigations on the interface and defect engineering of TMDCs and their corresponding applications in electronic and optoelectronic devices. Various interface engineering approaches for TMDCs are overviewed, including surface charge transfer doping, TMDC/metal contact engineering, and TMDC/dielectric interface engineering. Subsequently, different types of structural defects in TMDCs are introduced. Defect engineering strategies utilized to modulate the optical and electronic properties of TMDCs, as well as the developed high-performance and functional devices are summarized. Finally, we highlight the challenges and opportunities for interface and defect engineering in TMDC materials for electronics and optoelectronics."
https://doi.org/10.1002/adma.201805417,2019,Strain Engineering of 2D Materials: Issues and Opportunities at the Interface,"Triggered by the growing needs of developing semiconductor devices at ever-decreasing scales, strain engineering of 2D materials has recently seen a surge of interest. The goal of this principle is to exploit mechanical strain to tune the electronic and photonic performance of 2D materials and to ultimately achieve high-performance 2D-material-based devices. Although strain engineering has been well studied for traditional semiconductor materials and is now routinely used in their manufacturing, recent experiments on strain engineering of 2D materials have shown new opportunities for fundamental physics and exciting applications, along with new challenges, due to the atomic nature of 2D materials. Here, recent advances in the application of mechanical strain into 2D materials are reviewed. These developments are categorized by the deformation modes of the 2D material-substrate system: in-plane mode and out-of-plane mode. Recent state-of-the-art characterization of the interface mechanics for these 2D material-substrate systems is also summarized. These advances highlight how the strain or strain-coupled applications of 2D materials rely on the interfacial properties, essentially shear and adhesion, and finally offer direct guidelines for deterministic design of mechanical strains into 2D materials for ultrathin semiconductor applications."
https://doi.org/10.1021/acs.chemrev.5b00715,2016,Organic–Inorganic Perovskites: Structural Versatility for Functional Materials Design,"Although known since the late 19th century, organic-inorganic perovskites have recently received extraordinary research community attention because of their unique physical properties, which make them promising candidates for application in photovoltaic (PV) and related optoelectronic devices. This review will explore beyond the current focus on three-dimensional (3-D) lead(II) halide perovskites, to highlight the great chemical flexibility and outstanding potential of the broader class of 3-D and lower dimensional organic-based perovskite family for electronic, optical, and energy-based applications as well as fundamental research. The concept of a multifunctional organic-inorganic hybrid, in which the organic and inorganic structural components provide intentional, unique, and hopefully synergistic features to the compound, represents an important contemporary target."
https://doi.org/10.1038/nphoton.2015.282,2016,Photonics and optoelectronics of 2D semiconductor transition metal dichalcogenides,
https://doi.org/10.1103/physrevlett.99.256802,2007,Graphene Bilayer with a Twist: Electronic Structure,"We consider a graphene bilayer with a relative small angle rotation between the layers--a stacking defect often seen in the surface of graphite--and calculate the electronic structure near zero energy in a continuum approximation. Contrary to what happens in an AB stacked bilayer and in accord with observations in epitaxial graphene, we find: (a) the low energy dispersion is linear, as in a single layer, but the Fermi velocity can be significantly smaller than the single-layer value; (b) an external electric field, perpendicular to the layers, does not open an electronic gap."
https://doi.org/10.1063/1.1534621,2003,Small molecular weight organic thin-film photodetectors and solar cells,"In this review, we discuss the physics underlying the operation of single and multiple heterojunction, vacuum-deposited organic solar cells based on small molecular weight thin films. For single heterojunction cells, we find that the need for direct contact between the deposited electrode and the active organics leads to quenching of excitons. An improved device architecture, the double heterojunction, is shown to confine excitons within the active layers, allowing substantially higher internal efficiencies to be achieved. A full optical and electrical analysis of the double heterostructure architecture leads to optimal cell design as a function of the optical properties and exciton diffusion lengths of the photoactive materials. Combining the double heterostructure with novel light trapping schemes, devices with external efficiencies approaching their internal efficiency are obtained. When applied to an organic photovoltaic cell with a power conversion efficiency of 1.0%±0.1% under 1 sun AM1.5 illumination, devices with external power conversion efficiencies of 2.4%±0.3% are reported. In addition, we show that by using materials with extended exciton diffusion lengths LD, highly efficient double heterojunction photovoltaic cells are obtained, even in the absence of a light trapping geometry. Using C60 as an acceptor material, double heterostructure external power conversion efficiencies of 3.6%±0.4% under 1 sun AM1.5 illumination are obtained. Stacking of single heterojunction devices leads to thin film multiple heterojunction photovoltaic and photodetector structures. Thin bilayer photovoltaic cells can be stacked with ultrathin (∼5 Å), discontinuous Ag layers between adjacent cells serving as efficient recombination sites for electrons and holes generated in the neighboring cells. Such stacked cells have open circuit voltages that are n times the open circuit voltage of a single cell, where n is the number of cells in the stack. In optimized structures, the short circuit photocurrent remains approximately constant upon stacking thin cells, leading to higher achievable power conversion efficiencies, as confirmed by modelling optical interference effects and exciton migration. A 2.5%±0.3% power efficiency under 100 mW/cm2 AM1.5 illumination conditions is obtained by stacking two ∼1% efficient devices. Alternatively, when the contact layers between the stacked cells are eliminated, a multilayer structure consisting of alternating films of donor and acceptor-type materials is obtained. Since the thicknesses of the individual layers (∼5 Å) can be substantially smaller than the exciton diffusion length, nearly 100% of the photogenerated excitons are dissociated, and the resulting free charges are detected. In addition, the ultrathin organic layers facilitate electron and hole transport through the multilayer stack by tunneling. When these devices are operated as photodetectors under applied fields &amp;gt;106 V/cm, the carrier collection efficiency reaches 80%, leading to external quantum efficiencies of 75%±1% across the visible spectrum in cells containing the thinnest layers. We find that due to the fast carrier tunneling process, the temporal response of these multilayer detectors is a direct measure of exciton dynamics. Response times of 720±50 ps are achieved, leading to a 3 dB bandwidth of 430±30 MHz. A summary of representative results obtained for both polymer and small molecule photovoltaic cells and photodetectors is included in this review. Prospects for further improvements in organic solar cells and photodetectors are considered."
https://doi.org/10.1021/ci600510j,2007,Basis Set Exchange:  A Community Database for Computational Sciences,"Basis sets are some of the most important input data for computational models in the chemistry, materials, biology, and other science domains that utilize computational quantum mechanics methods. Providing a shared, Web-accessible environment where researchers can not only download basis sets in their required format but browse the data, contribute new basis sets, and ultimately curate and manage the data as a community will facilitate growth of this resource and encourage sharing both data and knowledge. We describe the Basis Set Exchange (BSE), a Web portal that provides advanced browsing and download capabilities, facilities for contributing basis set data, and an environment that incorporates tools to foster development and interaction of communities. The BSE leverages and enables continued development of the basis set library originally assembled at the Environmental Molecular Sciences Laboratory."
https://doi.org/10.1002/adma.200400271,2004,Exploitation of Localized Surface Plasmon Resonance,"Abstract Recent advances in the exploitation of localized surface plasmons (charge density oscillations confined to metallic nanoparticles and nanostructures) in nanoscale optics and photonics, as well as in the construction of sensors and biosensors, are reviewed here. In particular, subsequent to brief surveys of the most‐commonly used methods of preparation and arraying of materials with localized surface plasmon resonance (LSPR), and of the optical manifestations of LSPR, attention will be focused on the exploitation of metallic nanostructures as waveguides; as optical transmission, information storage, and nanophotonic devices; as switches; as resonant light scatterers (employed in the different near‐field scanning optical microscopies); and finally as sensors and biosensors."
https://doi.org/10.1016/j.cpc.2009.06.022,2009,Ab initio molecular simulations with numeric atom-centered orbitals,"We describe a complete set of algorithms for ab initio molecular simulations based on numerically tabulated atom-centered orbitals (NAOs) to capture a wide range of molecular and materials properties from quantum-mechanical first principles. The full algorithmic framework described here is embodied in the Fritz Haber Institute ""ab initio molecular simulations"" (FHI-aims) computer program package.\nIts comprehensive description should be relevant to any other first-principles implementation based on NAOs. The focus here is on density-functional theory (DFT) in the local and semilocal (generalized gradient) approximations, but an extension to hybrid functionals, Hartree–Fock theory, and MP2/GW electron self-energies for total energies and excited states is possible within the same underlying algorithms. An all-electron/full-potential treatment that is both computationally efficient and accurate is achieved for periodic and cluster geometries on equal footing, including relaxation and ab initio molecular dynamics. We demonstrate the construction of transferable, hierarchical basis sets, allowing the calculation to range from qualitative tight-binding like accuracy to meV-level total energy convergence with the basis set. Since all basis functions are strictly localized, the otherwise computationally dominant grid-based operations scale as O(N) with system size N. Together with a scalar-relativistic treatment, the basis sets provide access to all elements from light to heavy. Both low-communication parallelization of all real-space grid based algorithms and a ScaLapack-based, customized handling of the linear algebra for all matrix operations are possible, guaranteeing efficient scaling (CPU time and memory) up to massively parallel computer systems with thousands of CPUs."
https://doi.org/10.1038/nphys2942,2014,Spin and pseudospins in layered transition metal dichalcogenides,
https://doi.org/10.1038/nature23879,2017,Hardware-efficient variational quantum eigensolver for small molecules and quantum magnets,
https://doi.org/10.1038/natrevmats.2016.55,2016,Valleytronics in 2D materials,
https://doi.org/10.1103/physrevb.82.081101,2010,Higher-accuracy van der Waals density functional,"We propose a second version of the van der Waals density functional of Dion et al. [Phys. Rev. Lett. 92, 246401 (2004)], employing a more accurate semilocal exchange functional and the use of a large-$N$ asymptote gradient correction in determining the vdW kernel. The predicted binding energy, equilibrium separation, and potential-energy curve shape are close to those of accurate quantum chemical calculations on 22 duplexes. We anticipate the enabling of chemically accurate calculations in sparse materials of importance for condensed matter, surface, chemical, and biological physics."
https://doi.org/10.1126/science.1237215,2013,The Complete Quantum Hall Trio,Observation of a quantized resistance state in the absence of an external magnetic field completes a trio of quantum Hall related effects. [Also see Report by Chang et al. ]
https://doi.org/10.1126/science.1235547,2013,Strong Light-Matter Interactions in Heterostructures of Atomically Thin Films,"The isolation of various two-dimensional (2D) materials, and the possibility to combine them in vertical stacks, has created a new paradigm in materials science: heterostructures based on 2D crystals. Such a concept has already proven fruitful for a number of electronic applications in the area of ultrathin and flexible devices. Here, we expand the range of such structures to photoactive ones by using semiconducting transition metal dichalcogenides (TMDCs)/graphene stacks. Van Hove singularities in the electronic density of states of TMDC guarantees enhanced light-matter interactions, leading to enhanced photon absorption and electron-hole creation (which are collected in transparent graphene electrodes). This allows development of extremely efficient flexible photovoltaic devices with photoresponsivity above 0.1 ampere per watt (corresponding to an external quantum efficiency of above 30%)."
https://doi.org/10.1088/0953-8984/22/25/253202,2010,Electronic structure calculations with GPAW: a real-space implementation of the projector augmented-wave method,"Electronic structure calculations have become an indispensable tool in many areas of materials science and quantum chemistry. Even though the Kohn-Sham formulation of the density-functional theory (DFT) simplifies the many-body problem significantly, one is still confronted with several numerical challenges. In this article we present the projector augmented-wave (PAW) method as implemented in the GPAW program package (https://wiki.fysik.dtu.dk/gpaw) using a uniform real-space grid representation of the electronic wavefunctions. Compared to more traditional plane wave or localized basis set approaches, real-space grids offer several advantages, most notably good computational scalability and systematic convergence properties. However, as a unique feature GPAW also facilitates a localized atomic-orbital basis set in addition to the grid. The efficient atomic basis set is complementary to the more accurate grid, and the possibility to seamlessly switch between the two representations provides great flexibility. While DFT allows one to study ground state properties, time-dependent density-functional theory (TDDFT) provides access to the excited states. We have implemented the two common formulations of TDDFT, namely the linear-response and the time propagation schemes. Electron transport calculations under finite-bias conditions can be performed with GPAW using non-equilibrium Green functions and the localized basis set. In addition to the basic features of the real-space PAW method, we also describe the implementation of selected exchange-correlation functionals, parallelization schemes, ΔSCF-method, x-ray absorption spectra, and maximally localized Wannier orbitals."
https://doi.org/10.1038/nature05343,2006,Active terahertz metamaterial devices,
https://doi.org/10.1126/science.1256815,2014,Quantum spin Hall effect in two-dimensional transition metal dichalcogenides,"Quantum spin Hall (QSH) effect materials feature edge states that are topologically protected from backscattering. However, the small band gap in materials that have been identified as QSH insulators limits applications. We use first-principles calculations to predict a class of large-gap QSH insulators in two-dimensional transition metal dichalcogenides with 1T' structure, namely, 1T'-MX2 with M = (tungsten or molybdenum) and X = (tellurium, selenium, or sulfur). A structural distortion causes an intrinsic band inversion between chalcogenide-p and metal-d bands. Additionally, spin-orbit coupling opens a gap that is tunable by vertical electric field and strain. We propose a topological field effect transistor made of van der Waals heterostructures of 1T'-MX2 and two-dimensional dielectric layers that can be rapidly switched off by electric field through a topological phase transition instead of carrier depletion."
https://doi.org/10.1103/physrevlett.107.136603,2011,"Evidence for Helical Edge Modes in Inverted<mml:math xmlns:mml=""http://www.w3.org/1998/Math/MathML"" display=""inline""><mml:mi>InAs</mml:mi><mml:mo>/</mml:mo><mml:mi>GaSb</mml:mi></mml:math>Quantum Wells","We present an experimental study of low temperature electronic transport in the hybridization gap of inverted InAs/GaSb composite quantum wells. An electrostatic gate is used to push the Fermi level into the gap regime, where the conductance as a function of sample length and width is measured. Our analysis shows strong evidence for the existence of helical edge modes proposed by Liu et al [Phys. Rev. Lett. 100, 236601 (2008)]. Edge modes persist in spite of sizable bulk conduction and show only a weak magnetic field dependence-a direct consequence of a gap opening away from the zone center."
https://doi.org/10.1103/physrevlett.120.143001,2018,Deep Potential Molecular Dynamics: A Scalable Model with the Accuracy of Quantum Mechanics,"We introduce a scheme for molecular simulations, the deep potential molecular dynamics (DPMD) method, based on a many-body potential and interatomic forces generated by a carefully crafted deep neural network trained with ab initio data. The neural network model preserves all the natural symmetries in the problem. It is first-principles based in the sense that there are no ad hoc components aside from the network model. We show that the proposed scheme provides an efficient and accurate protocol in a variety of systems, including bulk materials and molecules. In all these cases, DPMD gives results that are essentially indistinguishable from the original data, at a cost that scales linearly with system size."
https://doi.org/10.1038/nmat1284,2004,Repeated temperature modulation epitaxy for p-type doping and light-emitting diode based on ZnO,
https://doi.org/10.1039/c6cs00368k,2017,Recent advances in organic thermally activated delayed fluorescence materials,"Organic materials that exhibit thermally activated delayed fluorescence (TADF) are an attractive class of functional materials that have witnessed a booming development in recent years. Since Adachi et al. reported high-performance TADF-OLED devices in 2012, there have been many reports regarding the design and synthesis of new TADF luminogens, which have various molecular structures and are used for different applications. In this review, we summarize and discuss the latest progress concerning this rapidly developing research field, in which the majority of the reported TADF systems are discussed, along with their derived structure-property relationships, TADF mechanisms and applications. We hope that such a review provides a clear outlook of these novel functional materials for a broad range of scientists within different disciplinary areas and attracts more researchers to devote themselves to this interesting research field."
https://doi.org/10.1103/revmodphys.90.021001,2018,<i>Colloquium</i>: Excitons in atomically thin transition metal dichalcogenides,"Most two-dimensional (2D) semiconductors are interesting materials as quantum confinement enhances the Coulomb interaction between carriers, leading to a strong attraction between conduction electrons and valence holes, forming stable excitons and the optical response of 2D semiconductors can be extraordinary. In this Colloquium the progress and open questions in the study of excitons in 2D semiconductors from both the experimental and theoretical perspectives are reviewed."
https://doi.org/10.1016/j.yexmp.2008.12.004,2009,Nanoparticle-based targeted drug delivery,
https://doi.org/10.1038/nnano.2016.110,2016,Perovskite energy funnels for efficient light-emitting diodes,
https://doi.org/10.1103/physrevb.82.161414,2010,Quantum anomalous Hall effect in graphene from Rashba and exchange effects,"We investigate the possibility of realizing quantum anomalous Hall effect in graphene. We show that a bulk energy gap can be opened in the presence of both Rashba spin-orbit coupling and an exchange field. We calculate the Berry curvature distribution and find a nonzero Chern number for the valence bands and demonstrate the existence of gapless edge states. Inspired by this finding, we also study, by first-principles method, a concrete example of graphene with Fe atoms adsorbed on top, obtaining the same result."
https://doi.org/10.1016/s0927-0256(03)00109-5,2003,MOLCAS: a program package for computational chemistry,
https://doi.org/10.1088/1751-8113/49/47/473001,2016,Measures and applications of quantum correlations,"Quantum information theory is built upon the realisation that quantum resources like coherence and entanglement can be exploited for novel or enhanced ways of transmitting and manipulating information, such as quantum cryptography, teleportation, and quantum computing. We now know that there is potentially much more than entanglement behind the power of quantum information processing. There exist more general forms of non-classical correlations, stemming from fundamental principles such as the necessary disturbance induced by a local measurement, or the persistence of quantum coherence in all possible local bases. These signatures can be identified and are resilient in almost all quantum states, and have been linked to the enhanced performance of certain quantum protocols over classical ones in noisy conditions. Their presence represents, among other things, one of the most essential manifestations of quantumness in cooperative systems, from the subatomic to the macroscopic domain. In this work we give an overview of the current quest for a proper understanding and characterisation of the frontier between classical and quantum correlations (QCs) in composite states. We focus on various approaches to define and quantify general QCs, based on different yet interlinked physical perspectives, and comment on the operational significance of the ensuing measures for quantum technology tasks such as information encoding, distribution, discrimination and metrology. We then provide a broader outlook of a few applications in which quantumness beyond entanglement looks fit to play a key role."
https://doi.org/10.1038/nmat3687,2013,Mobility engineering and a metal–insulator transition in monolayer MoS2,
https://doi.org/10.1038/s41586-018-0551-y,2018,Integrated lithium niobate electro-optic modulators operating at CMOS-compatible voltages,
https://doi.org/10.1038/nphys4278,2017,Tunable Klein-like tunnelling of high-temperature superconducting pairs into graphene,
https://doi.org/10.1103/revmodphys.82.1539,2010,Anomalous Hall effect,"The anomalous Hall effect (AHE) occurs in solids with broken time-reversal symmetry, typically in a ferromagnetic phase, as a consequence of spin-orbit coupling. Experimental and theoretical studies of the AHE are reviewed, focusing on recent developments that have provided a more complete framework for understanding this subtle phenomenon and have, in many instances, replaced controversy by clarity. Synergy between experimental and theoretical works, both playing a crucial role, has been at the heart of these advances. On the theoretical front, the adoption of the Berry-phase concepts has established a link between the AHE and the topological nature of the Hall currents. On the experimental front, new experimental studies of the AHE in transition metals, transition-metal oxides, spinels, pyrochlores, and metallic dilute magnetic semiconductors have established systematic trends. These two developments, in concert with first-principles electronic structure calculations, strongly favor the dominance of an intrinsic Berry-phase-related AHE mechanism in metallic ferromagnets with moderate conductivity. The intrinsic AHE can be expressed in terms of the Berry-phase curvatures and it is therefore an intrinsic quantum-mechanical property of a perfect crystal. An extrinsic mechanism, skew scattering from disorder, tends to dominate the AHE in highly conductive ferromagnets. The full modern semiclassical treatment of the AHE is reviewed which incorporates an anomalous contribution to wave-packet group velocity due to momentum-space Berry curvatures and correctly combines the roles of intrinsic and extrinsic (skew-scattering and side-jump) scattering-related mechanisms. In addition, more rigorous quantum-mechanical treatments based on the Kubo and Keldysh formalisms are reviewed, taking into account multiband effects, and demonstrate the equivalence of all three linear response theories in the metallic regime. Building on results from recent experiment and theory, a tentative global view of the AHE is proposed which summarizes the roles played by intrinsic and extrinsic contributions in the disorder strength versus temperature plane. Finally outstanding issues and avenues for future investigation are discussed."
https://doi.org/10.1038/nature04166,2005,Engineering atomic and molecular nanostructures at surfaces,
https://doi.org/10.1038/nnano.2014.167,2014,Ultrafast charge transfer in atomically thin MoS2/WS2 heterostructures,
https://doi.org/10.1038/nphys4110,2017,Tunnelling spectroscopy of Andreev states in graphene,
